Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
36692478,There There,Tommy Orange,"Orange, Tommy",,"=""0525520376""","=""9780525520375""",0,4.00,Knopf,Hardcover,294,2018,2018,,2019/08/28,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
43925876,The Giver of Stars,Jojo Moyes,"Moyes, Jojo",,"=""0399562486""","=""9780399562488""",0,4.41,Pamela Dorman Books,Hardcover,400,2019,2019,,2019/08/28,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
25734325,Lab Girl,Hope Jahren,"Jahren, Hope",,"=""1101890207""","=""9781101890202""",0,4.02,Random House Audio,Audio,0,2016,2016,,2019/08/26,"currently-reading, audiobook","currently-reading (#2), audiobook (#129)",currently-reading,,,,1,,,0,,,,,
902,The Westing Game,Ellen Raskin,"Raskin, Ellen",,"=""014240120X""","=""9780142401200""",0,4.02,Puffin,Paperback,182,2004,1978,,2019/08/25,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
42202117,"From Scratch: A Memoir of Love, Sicily, and Finding Home",Tembi Locke,"Locke, Tembi",,"=""1501187651""","=""9781501187650""",5,3.90,Simon & Schuster,Hardcover,352,2019,2019,2019/08/24,2019/04/30,,,read,,,,1,,,0,,,,,
32872141,The Life-Changing Magic of Not Giving a F*ck: How to Stop Spending Time You Don't Have with People You Don't Like Doing Things You Don't Want to Do,Sarah Knight,"Knight, Sarah",,"=""""","=""""",2,3.45,Hachette Audio,Audiobook,4,2015,2015,2019/08/23,2019/08/23,audiobook,audiobook (#128),read,,,,1,,,0,,,,,
29283884,"The Gentleman's Guide to Vice and Virtue (Montague Siblings, #1)",Mackenzi Lee,"Lee, Mackenzi",,"=""0062382802""","=""9780062382801""",3,4.14,Katherine Tegen Books,Hardcover,513,2017,2017,2019/08/20,2019/08/17,,,read,,,,1,,,0,,,,,
27213329,Grit,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",3,4.07,Collins,Hardcover,277,2016,2016,2019/08/13,2019/07/16,,,read,3.5 stars,,,1,,,0,,,,,
33161050,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins","Alma Cuervo, Julia Whelan, Robin Miles","=""1508236615""","=""9781508236610""",4,4.31,Simon  Schuster Audio,Audiobook,12,2017,2017,2019/08/09,2019/08/06,audiobook,audiobook (#127),read,,,,1,,,0,,,,,
43347603,The Yellow House: A Memoir,Sarah M. Broom,"Broom, Sarah M.",,"=""0802125085""","=""9780802125088""",0,4.39,Grove Press,Hardcover,376,2019,2019,,2019/08/07,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
